identifier,call_type,name,mae,mape,mase,smape,rmse,rsq
60,CIP,XGBOOST - Tweedie,5.695672988891602,20.04910962593943,0.7947450682174327,23.943351028045388,7.631729975178249,0.3285838292873915
60,Non CIP,XGBOOST - Poisson,28.757563999720983,10.729790360622085,1.1277476078321955,10.065240969319197,32.30456094421531,0.043306891937217394
61,CIP,XGBOOST - SqEr,3.6680067607334683,25.571279013385436,0.9170016901833671,24.062880046640153,4.116375292096091,0.009042755684925314
61,Non CIP,XGBOOST - Tweedie,27.582528250558035,15.985332736238384,1.1413459965748152,14.610541631318515,29.298903381296334,0.8234270411881134
62,CIP,XGBOOST - Tweedie,3.054001671927316,29.9843379632773,0.6544289296987105,24.00842329086858,3.990586038018079,0.0033629137346972075
62,Non CIP,XGBOOST - Poisson,17.050146920340403,13.286133801482155,0.8250071090487291,11.923466886555415,23.649499191405834,0.2472410107721778
63,CIP,XGBOOST - Poisson,3.7587994166782925,25.612343323286886,0.7275095645183791,26.657945392406912,4.618013630224267,0.0020553483063252584
63,Non CIP,XGBOOST - Poisson,13.456000191824776,9.890560166498972,0.9611428708446269,9.515919601605145,15.108307337337006,0.23591527318110425
66,CIP,XGBOOST - Tweedie,1.4373769760131836,14.249139448903906,0.41067913600376676,13.314366056875402,1.7619771993660474,0.15245461997069434
66,Non CIP,XGBOOST - Tweedie,12.401944841657366,9.037134187986027,0.7224433888344096,8.495044417904188,14.607138393707496,0.7365249859533612
67,CIP,XGBOOST - Tweedie,3.973039082118443,14.44274131763369,0.5543775463421083,13.689061324278764,4.799184057339844,0.0011567198569247
67,Non CIP,XGBOOST - SqEr,13.400617327008929,4.8590552469483335,0.46746339512821844,4.877593603613407,16.911238035093813,0.2895041988711565
68,CIP,XGBOOST - Tweedie,2.377474239894322,19.6856148300454,0.5705938175746372,19.660440681535547,2.5423902484848147,0.17235543789748745
68,Non CIP,XGBOOST - Tweedie,9.220700945172991,4.624064710746435,0.5948839319466446,4.645718959748173,11.736637979489364,0.12445430307973664
69,CIP,XGBOOST - Tweedie,3.3117637634277344,47.29907007007809,0.5677309308733259,34.081872226465485,4.128016047056616,0.041307614188585355
69,Non CIP,XGBOOST - Poisson,17.480403355189733,11.811755429734843,1.038439803278598,10.925215824489113,20.44398126988421,0.048508134923872376
70,CIP,XGBOOST - Tweedie,3.4998256138392856,23.7479216156297,1.1666085379464286,20.05430742440212,4.234642576616785,3.316154278602568e-4
70,Non CIP,XGBOOST - Tweedie,33.305755615234375,14.221721893846095,0.9001555571684966,13.528616177062961,38.4497060339729,0.4625823687602296
71,CIP,XGBOOST - SqEr,2.581939697265625,18.257448877761433,0.7745819091796874,16.55508843447235,3.0951107577496235,0.007216524297665213
71,Non CIP,XGBOOST - Poisson,14.723033360072545,8.536966455090402,1.0516452400051817,8.295266752745608,20.047530473429912,0.8886176900585548
72,CIP,XGBOOST - SqEr,2.405416488647461,16.211565792425418,0.8018054962158203,16.818796417483433,2.8354668324207197,0.11875701698319738
72,Non CIP,XGBOOST - Poisson,22.530319213867188,8.082035839360731,0.6530527308367301,8.715263958629302,37.05952342905923,0.03850526917624657
73,CIP,XGBOOST - SqEr,7.598150525774274,16.249397810787947,1.6884778946165055,16.859678922361145,7.846930828045057,0.022696460954089177
73,Non CIP,XGBOOST - SqEr,37.835680280412944,9.710801829221758,1.1465357660731197,9.096360430206792,43.44561665956647,0.8912395816792282
75,CIP,XGBOOST - Poisson,4.9042816162109375,8.535879109909942,0.9195528030395508,9.140605684962415,6.348564325424172,0.0813003030501934
75,Non CIP,XGBOOST - Poisson,39.18144008091518,8.807283670064876,0.6074641873010105,8.47808781651572,46.80743931540593,0.07019303533637372
76,CIP,XGBOOST - Poisson,1.8353210857936315,67.01337292080834,1.2235473905290877,44.09847289343465,2.1625894101602148,0.5232415910324923
76,Non CIP,XGBOOST - Poisson,19.732467651367188,16.60196317250532,1.315497843424479,14.632876152551624,24.188811084325984,0.3920129408919963
77,CIP,XGBOOST - SqEr,5.956737382071359,31.531974443512155,0.6270249875864589,31.784005161068272,7.362743680817229,1.5208910827868786e-4
77,Non CIP,XGBOOST - Tweedie,21.184640066964285,8.134818788409218,0.8951256366322937,7.449409887312383,31.613334029973576,0.020194891675221562
78,CIP,XGBOOST - SqEr,1.757613182067871,12.817612818018128,0.8112060840313252,13.448266537133218,2.618128551951426,0.01497095566291436
78,Non CIP,XGBOOST - Poisson,11.670203072684151,5.546650571413326,0.573944413410696,5.342620423044623,14.263339644974154,0.7772997607173836
79,CIP,XGBOOST - Tweedie,5.4967482430594305,23.36624538256684,0.7852497490084901,23.858374693433735,5.763062633035236,0.04445057694726404
79,Non CIP,XGBOOST - SqEr,33.14532906668527,12.193057587735186,1.0466946021058505,10.98520923845424,43.02979607348859,0.2472520698659403
81,CIP,XGBOOST - Tweedie,4.892221995762417,38.24935194746038,0.7159349262091341,32.93486807319787,5.259034738701632,0.18119896189243406
81,Non CIP,XGBOOST - Tweedie,19.750470842633927,9.984829252672247,0.7847869208993614,9.347348456432893,24.512413865843563,0.004784557252909696
83,CIP,XGBOOST - Tweedie,4.662290845598493,29.14310664829887,0.9646118990893435,24.588566026899727,5.308030004441541,0.4784587589927877
83,Non CIP,XGBOOST - Poisson,28.528274536132812,10.681321656658232,1.1723948439506635,10.446954147231377,33.24187940784925,0.3733426013257563
