.model,nypd_pct_cd,call_type,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
arima_weather,60,CIP,Test,5.2078014940878825,7.428193266009245,5.274165272263041,17.73365727815022,18.08294032117737,1.0006415410647767,1.1177023169763451,-0.21871355853663574
arima_weather,60,Non CIP,Test,-47.95136727272222,52.94030513897638,47.95136727272222,-17.9369486115551,17.9369486115551,1.5199542443329954,1.3066246958899101,-0.31364624290065446
arima_weather,60,<aggregated>,Test,-45.20572086172388,49.604532485805514,45.20572086172388,-15.386707149038626,15.386707149038626,1.404408556313211,1.1994026336460846,-0.14277387471467473
arima_weather,61,CIP,Test,-1.2598112325074537,5.3441267181101955,4.790495908384587,-17.717133099840826,34.261730548956145,1.0151671698472704,0.9038438265752052,0.33001506934141617
arima_weather,61,Non CIP,Test,-31.23562311659746,40.471742782944055,36.35833849488237,-19.854978544360108,21.85603923900265,1.2630812388336572,1.0637436442228965,0.5194408644703362
arima_weather,61,<aggregated>,Test,-30.730092746940066,39.614757102849104,36.10501705813402,-17.572166406940692,19.562879114790306,1.2396193264944066,1.0358323906857994,0.4519587709923041
arima_weather,62,CIP,Test,-0.08647262199354344,3.8371897446864693,2.9026457235051453,-13.936021140285877,30.152336101012185,0.6310968408998101,0.6636991571726166,0.04097314068199765
arima_weather,62,Non CIP,Test,-6.355981949384411,18.115496692332187,14.00307185343514,-5.985910287197414,10.835086783377566,0.5289472350427258,0.544856124758659,0.015806938997271036
arima_weather,62,<aggregated>,Test,-5.409157408339002,20.15396370708237,17.17561212765937,-5.02452019060109,11.791099926071931,0.6471019335153114,0.604699567139457,0.07669008347450111
arima_weather,63,CIP,Test,1.9350303144498635,4.774523449544869,3.736212666380311,4.373230341596658,26.09470468509333,0.9039916853713282,0.9185208366553573,0.14422972557566033
arima_weather,63,Non CIP,Test,-8.08882386913777,14.864605604197276,13.026773134845318,-6.696205909967786,9.83715125775061,0.6125168262279752,0.5243191646403352,0.04121817048018391
arima_weather,63,<aggregated>,Test,-6.4895617570525586,14.56186800892221,13.19621636138813,-4.945369158072317,8.803583615319019,0.617358271824025,0.511277947907234,-0.10429349904264151
arima_weather,66,CIP,Test,-0.7185305263339264,1.8742831829878714,1.4799128331186469,-9.474104329979768,14.980241545412293,0.3701980408454843,0.37327585194580526,-0.6591799131323902
arima_weather,66,Non CIP,Test,-17.55730957177675,21.433463648858314,19.286710871015533,-13.253361674741921,14.258827546392375,0.8257887256794569,0.692601706585763,-0.37433204529834835
arima_weather,66,<aggregated>,Test,-19.046014162668882,22.42697705777437,19.814490131074283,-13.151792208874033,13.574031751953923,0.8464065016926581,0.7280779120172792,-0.3032919181529334
arima_weather,67,CIP,Test,-0.0021980309976509,4.274111238831549,3.575072839007305,-2.4901748583210868,12.769569893636739,0.5633583275940395,0.5272877685057559,-0.276111621870117
arima_weather,67,Non CIP,Test,4.832065169611757,17.613810915110268,11.557773158739142,1.4519245819458706,4.0533111627866605,0.3867903417988217,0.46059648237248585,-0.44138647285829674
arima_weather,67,<aggregated>,Test,4.864951248064235,19.246831624266402,11.901253527632019,1.286363743689662,3.7757602986255585,0.3950922119962996,0.4979612766420658,-0.42081475485298725
arima_weather,68,CIP,Test,-0.6219228829499337,2.667400479432138,2.221365586738092,-10.305932686866953,20.668199668722085,0.5449853799631337,0.518700500162628,-0.3114462141466184
arima_weather,68,Non CIP,Test,-0.13431698862196698,11.140806447879136,8.218918726920034,-0.3940182215957533,4.181488296346828,0.3800986580776277,0.4069899564687267,-0.33537124770703547
arima_weather,68,<aggregated>,Test,0.8128586057897564,11.619285060360854,7.874650018043163,0.03691396021233825,3.8353325783053736,0.35972522326347345,0.42006374951100056,-0.37671024816816745
arima_weather,69,CIP,Test,-1.2416982957784741,4.555664068142731,3.741120595896257,-40.61401036362379,57.28344976456193,0.9205211986395818,0.8772011060888222,-0.12488529280357796
arima_weather,69,Non CIP,Test,-25.564569320196846,28.97615210724475,25.564569320196846,-17.19253421324427,17.19253421324427,1.0684331916415815,0.9547215782118043,-0.2940236650210094
arima_weather,69,<aggregated>,Test,-26.481833015013844,29.819266040975293,26.899357920647788,-16.535623091184878,16.750842114707527,1.1155438861854587,0.9759772546738328,-0.09812826457516426
arima_weather,70,CIP,Test,-5.214187347920251,5.997602339820699,5.214187347920251,-35.45931694686086,35.45931694686086,0.9267546609095518,0.8318824789852948,0.30670688634538373
arima_weather,70,Non CIP,Test,7.998387954844549,42.63380424958709,35.71167614874205,-0.09185538979180004,14.50420783211079,1.145581808794606,1.0405070352568406,0.31562755498378703
arima_weather,70,<aggregated>,Test,2.7153642466533006,41.2504910284475,35.60223979858869,-1.6197056160394412,13.589217818476085,1.122401000090297,0.9897352052676666,0.30440172951051564
arima_weather,71,CIP,Test,-2.3692698445394074,4.584555184604795,3.9388381453675607,-20.35692935842267,28.32406836303992,0.7715186999998805,0.6966858300015293,0.21651658680928013
arima_weather,71,Non CIP,Test,-10.054666612252504,19.893785929523762,16.802817478286084,-6.303887726951234,9.838274803206163,0.5920314254052149,0.5352936520627712,-0.0421486189112596
arima_weather,71,<aggregated>,Test,-13.368726971551403,24.269436944926305,20.500492101575862,-7.676050722323497,11.058682000359045,0.7096064877299468,0.6411193505551529,0.058416513352470424
arima_weather,72,CIP,Test,1.0668989177544794,3.1093180430670495,2.5595174738341675,3.5190391095241957,17.65626430854118,0.5310778001400613,0.5165015412881413,0.24522154439305363
arima_weather,72,Non CIP,Test,10.147448862833961,37.744028106606,21.254540598814316,2.586234517540803,7.534292079962874,0.8515030380099757,1.1660763888482597,0.011027274498456549
arima_weather,72,<aggregated>,Test,12.384483215870198,39.12020268625191,22.028180037180523,3.292144082244908,7.338615335125587,0.8695605996861702,1.194735559098757,-0.018174166779095714
arima_weather,73,CIP,Test,5.742031190168992,8.50401590340541,7.602432886930203,10.775180942509724,16.09061436182747,0.9724400178441206,0.855503767115146,0.2565784571359829
arima_weather,73,Non CIP,Test,-69.04706358152133,76.00814946370356,69.04706358152133,-17.580921438393947,17.580921438393947,1.7359006569552606,1.4983937981236695,0.4670057515218696
arima_weather,73,<aggregated>,Test,-64.44409396730305,73.08385814232852,64.44409396730305,-14.802677579932574,14.802677579932574,1.5861422718640494,1.411321616390012,0.48222362322280926
arima_weather,75,CIP,Test,2.6018608910796397,5.4812140050971205,4.317490494851936,4.2133858418076855,7.623491187242501,0.4884879060286656,0.49566550451257213,0.059937097940327345
arima_weather,75,Non CIP,Test,-11.994343177846154,45.57830921997389,37.27396574197972,-3.542562522574375,8.290526458841123,0.9009093623982467,0.8839564246620716,-0.23724741037314143
arima_weather,75,<aggregated>,Test,-7.860793727803631,47.70245732271004,39.3586264189479,-2.361280049711398,7.715450095783004,0.925490489408907,0.9009324283140444,-0.23076964147519788
arima_weather,76,CIP,Test,-2.7680202723358214,2.9374206492689834,2.7680202723358214,-93.95555616454725,93.95555616454725,0.9446121599459992,0.7874448589824904,-0.28583583054975387
arima_weather,76,Non CIP,Test,-22.597434910939576,25.97423664186424,22.597434910939576,-18.927114719605004,18.927114719605004,1.052302938297939,0.9516067250055517,0.3156333180912372
arima_weather,76,<aggregated>,Test,-24.132151332257155,27.63631979246472,24.132151332257155,-19.65834289047809,19.65834289047809,1.1124906790028395,0.9989482467661275,0.2819589191436892
arima_weather,77,CIP,Test,2.2175529174843382,7.326720892604662,5.743598477851051,0.7205670571659968,28.801236285184086,1.1956757668577351,1.1904003433426946,-0.13766936232447252
arima_weather,77,Non CIP,Test,-21.972328737090656,27.386416636723492,21.972328737090656,-8.369571977182288,8.369571977182288,0.7445948804654005,0.7307307536793386,-0.0660865053861877
arima_weather,77,<aggregated>,Test,-20.95385573663204,28.898940289613464,21.784023617509806,-7.657632253346118,7.922861608259144,0.7216204219821883,0.7533613953564898,0.013568809236145634
arima_weather,78,CIP,Test,0.07341189384300617,2.228985306624667,1.489737824523548,-2.048571405748695,10.732736507785106,0.3380414790465757,0.39850464062283375,-0.022776824760847372
arima_weather,78,Non CIP,Test,-8.400418410106814,16.246827735293646,15.303433022487683,-4.472709087739775,7.198023709257108,0.5796615855146939,0.48991988699583566,0.3737157159317634
arima_weather,78,<aggregated>,Test,-7.592293799697879,17.28433757974776,16.52272746277952,-3.957436684859469,7.322284101789203,0.6155449467727722,0.5114648277545979,0.3634094796408508
arima_weather,79,CIP,Test,-2.5644353708784093,6.575907563271864,5.511630492320273,-18.14358369547622,28.068970190711244,0.9080601763371383,0.8682487657373227,0.0361115433584166
arima_weather,79,Non CIP,Test,-44.08918815386232,52.27265012060794,44.08918815386232,-15.887544787860435,15.887544787860435,1.5129641254809976,1.413371175936929,-0.032767543324919136
arima_weather,79,<aggregated>,Test,-43.8403989169821,52.56025613669693,43.8403989169821,-14.501893799966412,14.501893799966412,1.4675825977934323,1.3911800012842306,0.02284683582867234
arima_weather,81,CIP,Test,-2.8595252295275744,5.485288955780801,4.551137686912116,-31.200931657949734,38.72197507931146,0.9003895517810154,0.8615384958995448,-0.5106782600334381
arima_weather,81,Non CIP,Test,-24.69505950359104,29.381110907499632,24.69505950359104,-12.5259423155068,12.5259423155068,1.0184111589184184,0.9684706929016225,-0.44355353310757606
arima_weather,81,<aggregated>,Test,-28.0788598128833,33.65817165101736,28.09285961831866,-13.305483089931803,13.311268133500134,1.1224701581125105,1.0782889444822505,-0.478355145636719
arima_weather,83,CIP,Test,-2.6208013328423556,5.819381327270528,4.6050737467771805,-22.807464204970813,30.777636824956893,0.8231259754004498,0.8178337113276899,0.2918996266139828
arima_weather,83,Non CIP,Test,-1.7429038690098722,27.850440047208878,23.877105973141504,-2.1162572421360206,9.26204169419898,0.865778159281056,0.785865940604719,0.5942571026462337
arima_weather,83,<aggregated>,Test,-3.788893079486417,30.82555777154867,25.41171353804026,-2.8816063811200956,9.403953931107399,0.9079206279644928,0.857534780302954,0.5612921188261384
arima_weather,84,CIP,Test,-2.334386655264418,4.170083938654118,3.262272175793526,-20.824506845291015,25.21418661126615,0.6519382528524085,0.6600409696407126,-0.5326368444274417
arima_weather,84,Non CIP,Test,-55.07282693766011,57.322270894622946,55.07282693766011,-13.543993643913177,13.543993643913177,1.5706668267418904,1.2819032401553672,-0.43206570790663595
arima_weather,84,<aggregated>,Test,-55.39260662362183,57.7409424371478,55.39260662362183,-13.113278182674316,13.113278182674316,1.552236741266766,1.2637102986892883,-0.45342128919344254
arima_weather,88,CIP,Test,-1.1460367506920073,2.576409811231542,2.411426058224933,-16.82775614915051,26.116705041653905,0.5968314935406801,0.5128031118492923,0.07702898621382302
arima_weather,88,Non CIP,Test,-24.73486119236858,32.10545338247949,28.898170465237936,-11.292625208224255,12.784850754055565,1.2905621900779851,1.1390272879386025,0.012554689754243554
arima_weather,88,<aggregated>,Test,-25.766193192262044,32.054347009095466,28.83808371116285,-11.128878264364937,12.199223392901803,1.2738703038331964,1.1267861245555566,-0.08217249462239619
arima_weather,90,CIP,Test,0.28184746667919347,4.643683819228247,4.042171111719854,-5.211974995318571,25.50171712050118,0.8072836992571437,0.7345362734120807,0.02281120106042251
arima_weather,90,Non CIP,Test,-33.163932424206806,36.2867035573867,33.163932424206806,-16.49991093607866,16.49991093607866,1.1631135913521389,1.0036085316951646,0.20587233608585614
arima_weather,90,<aggregated>,Test,-32.50401326199495,35.60700204041778,32.50401326199495,-14.938740177080996,14.938740177080996,1.1292448905182269,0.97259941271907,0.1351586082320133
