identifier,call_type,name,mae,mape,mase,smape,rmse,rsq
1,CIP,XGBOOST - SqEr,3.9389959062848776,18.69499535019574,0.7623863044422343,18.85758756220699,5.395654503787573,0.320137981479078
1,Non CIP,XGBOOST - Tweedie,23.207861764090403,9.631504061431304,0.87029481615339,9.068162135573258,25.818424626210433,0.6274466303415868
10,CIP,XGBOOST - SqEr,1.9276300157819475,15.370942873208701,0.6803400055700991,14.953210388629557,2.1536557998073906,0.1242011936810237
10,Non CIP,XGBOOST - SqEr,15.267486572265625,9.28895817271815,0.6590281973639838,9.1860056032906,19.144389230196538,0.011353932698204184
13,CIP,XGBOOST - Tweedie,6.186552865164621,35.00370543699451,0.8632399346741331,27.58782398195733,7.361074472439801,0.08717767422895618
13,Non CIP,XGBOOST - Poisson,17.910879952566965,5.987084045790259,0.9107227094525575,6.0252208744018025,20.090019586386244,0.24789880513139145
14,CIP,XGBOOST - Poisson,2.8764850071498325,8.460410997176256,0.5951348290654827,8.142223919837932,3.5832688439490274,0.3557639665355093
14,Non CIP,XGBOOST - Poisson,26.979867117745535,5.594180887875288,0.9094337230700742,5.552643563930196,27.809728216251212,0.6412784703452176
17,CIP,XGBOOST - Tweedie,2.5365680967058455,31.665830747340546,0.6917912991015942,26.15533727220659,3.0488006292299543,0.002830194272708518
17,Non CIP,XGBOOST - Tweedie,19.52028329031808,11.678356310243045,0.7705374983020296,11.202000876416799,21.033222734033416,0.28710140089136876
18,CIP,XGBOOST - Tweedie,4.354379381452288,13.183264654714396,1.632892268044608,14.38167053555667,4.94106651395591,0.13205995614442
18,Non CIP,XGBOOST - SqEr,23.483760288783483,6.924639279059794,0.7080530740336729,6.903070999528546,25.786107874692696,0.4880118053522546
19,CIP,XGBOOST - Tweedie,5.077745301382882,26.63625566651221,0.5641939223758758,26.724692628964707,5.558317342137723,2.2383525852288976e-4
19,Non CIP,XGBOOST - SqEr,17.733812604631694,6.732345775723342,0.4995440170318788,6.530338961472734,22.79219866940031,0.5419364815193586
20,CIP,XGBOOST - Tweedie,2.9540683201381137,52.9560907669307,1.1816273280552456,33.45873431007615,3.983321867634064,0.08503579108637285
20,Non CIP,XGBOOST - Poisson,13.084773472377233,8.530924409000102,0.568903194451184,8.51502022728446,14.742601015391834,0.22793167979097045
22,CIP,XGBOOST - SqEr,0.8418972577367511,Inf,0.42094862886837553,131.8093615521866,1.162317197298802,0.45610103206185626
22,Non CIP,XGBOOST - Poisson,7.248863220214844,25.24164424515195,0.8698635864257812,21.164484876367357,8.369161989303818,0.1512012150065682
23,CIP,XGBOOST - SqEr,4.560177530561175,31.81105584416088,0.9434850063230017,28.985044849441273,4.776963392885615,0.1925173756936232
23,Non CIP,XGBOOST - Tweedie,44.44365365164621,19.53998518956271,0.6130159124364994,17.882307491501233,53.19867533724989,0.2010737559559454
24,CIP,XGBOOST - SqEr,5.287145342145648,36.43870631042792,0.813406975714715,31.457555100158014,5.652612142379923,0.018263318801081528
24,Non CIP,XGBOOST - SqEr,24.603376116071427,12.479939213089668,0.6390487302875696,11.987814314442401,25.623097627373046,0.18347308802866896
25,CIP,XGBOOST - SqEr,3.467715399605887,18.47181078701311,0.45231070429642006,17.999735970307587,4.351463951071191,0.15032822001341686
25,Non CIP,XGBOOST - SqEr,24.37758527483259,9.546603779142185,1.6434327151572532,9.504840150614859,26.404588431992156,0.1785192594185124
26,CIP,XGBOOST - SqEr,2.401539053235735,43.56717736782701,0.6861540152102101,30.58644974888428,3.158319235010556,0.31266559665035093
26,Non CIP,XGBOOST - Poisson,18.859398978097097,11.980964113596194,0.8259590793327197,11.315492472176118,19.93852185775551,0.5240844525326928
28,CIP,XGBOOST - Tweedie,3.130730220249721,18.109291308517548,0.6477372869482182,17.571819000807643,3.977715376853162,0.5420379478252569
28,Non CIP,XGBOOST - Tweedie,24.617279052734375,12.87390357678922,1.1539349555969238,11.722188231220294,31.194350840627564,0.4150815199338749
30,CIP,XGBOOST - SqEr,1.7555077416556222,19.552909798092312,1.0533046449933734,17.12727651154094,2.0708532385892173,0.03585538650929681
30,Non CIP,XGBOOST - Tweedie,17.251953125,8.45446300620529,0.685508071192053,8.263865852268678,21.872012030067793,0.2857633323935507
32,CIP,XGBOOST - Poisson,6.32125118800572,31.03738683815706,0.790156398500715,30.284533350686644,7.075428345877204,0.00438351463716239
