nypd_pct_cd,incident_date,cip_jobs,counts
60.0,2022-02-12,Critical,1
60.0,2022-02-12,Non CIP,247
60.0,2022-02-12,Non Critical,9
60.0,2022-02-12,Serious,5
60.0,2022-02-13,Non CIP,194
60.0,2022-02-13,Non Critical,5
60.0,2022-02-13,Serious,1
60.0,2022-02-14,Critical,3
60.0,2022-02-14,Non CIP,205
60.0,2022-02-14,Non Critical,3
60.0,2022-02-14,Serious,3
60.0,2022-02-15,Critical,1
60.0,2022-02-15,Non CIP,220
60.0,2022-02-15,Non Critical,11
60.0,2022-02-15,Serious,1
60.0,2022-02-16,Critical,4
60.0,2022-02-16,Non CIP,258
60.0,2022-02-16,Non Critical,5
60.0,2022-02-16,Serious,4
60.0,2022-02-17,Critical,1
60.0,2022-02-17,Non CIP,233
60.0,2022-02-17,Non Critical,7
60.0,2022-02-17,Serious,8
60.0,2022-02-18,Critical,4
60.0,2022-02-18,Non CIP,246
60.0,2022-02-18,Non Critical,6
60.0,2022-02-18,Serious,4
60.0,2022-02-19,Critical,1
60.0,2022-02-19,Non CIP,187
60.0,2022-02-19,Non Critical,2
60.0,2022-02-19,Serious,3
60.0,2022-02-20,Critical,3
60.0,2022-02-20,Non CIP,172
60.0,2022-02-20,Non Critical,2
60.0,2022-02-20,Serious,4
60.0,2022-02-21,Critical,3
60.0,2022-02-21,Non CIP,206
60.0,2022-02-21,Non Critical,5
60.0,2022-02-21,Serious,6
60.0,2022-02-22,Critical,4
60.0,2022-02-22,Non CIP,214
60.0,2022-02-22,Non Critical,3
60.0,2022-02-22,Serious,5
60.0,2022-02-23,Critical,1
60.0,2022-02-23,Non CIP,248
60.0,2022-02-23,Non Critical,7
60.0,2022-02-23,Serious,7
60.0,2022-02-24,Critical,1
60.0,2022-02-24,Non CIP,223
60.0,2022-02-24,Non Critical,7
60.0,2022-02-24,Serious,4
60.0,2022-02-25,Critical,3
60.0,2022-02-25,Non CIP,203
60.0,2022-02-25,Non Critical,10
60.0,2022-02-25,Serious,4
60.0,2022-02-26,Critical,2
60.0,2022-02-26,Non CIP,214
60.0,2022-02-26,Non Critical,3
60.0,2022-02-26,Serious,6
60.0,2022-02-27,Non CIP,211
60.0,2022-02-27,Non Critical,4
60.0,2022-02-27,Serious,4
60.0,2022-02-28,Critical,3
60.0,2022-02-28,Non CIP,237
60.0,2022-02-28,Non Critical,5
60.0,2022-02-28,Serious,1
60.0,2022-03-01,Critical,6
60.0,2022-03-01,Non CIP,267
60.0,2022-03-01,Non Critical,7
60.0,2022-03-01,Serious,8
60.0,2022-03-02,Non CIP,269
60.0,2022-03-02,Non Critical,12
60.0,2022-03-02,Serious,5
60.0,2022-03-03,Critical,1
60.0,2022-03-03,Non CIP,258
60.0,2022-03-03,Non Critical,4
60.0,2022-03-03,Serious,4
60.0,2022-03-04,Critical,3
60.0,2022-03-04,Non CIP,256
60.0,2022-03-04,Non Critical,7
60.0,2022-03-04,Serious,8
60.0,2022-03-05,Critical,1
60.0,2022-03-05,Non CIP,257
60.0,2022-03-05,Non Critical,7
60.0,2022-03-05,Serious,8
60.0,2022-03-06,Critical,4
60.0,2022-03-06,Non CIP,219
60.0,2022-03-06,Non Critical,7
60.0,2022-03-06,Serious,5
60.0,2022-03-07,Critical,3
60.0,2022-03-07,Non CIP,263
60.0,2022-03-07,Non Critical,10
60.0,2022-03-07,Serious,3
60.0,2022-03-08,Critical,1
60.0,2022-03-08,Non CIP,264
60.0,2022-03-08,Non Critical,3
60.0,2022-03-08,Serious,8
60.0,2022-03-09,Critical,2
60.0,2022-03-09,Non CIP,266
60.0,2022-03-09,Non Critical,2
60.0,2022-03-09,Serious,7
60.0,2022-03-10,Non CIP,258
60.0,2022-03-10,Non Critical,8
60.0,2022-03-10,Serious,5
60.0,2022-03-11,Non CIP,246
60.0,2022-03-11,Non Critical,8
60.0,2022-03-11,Serious,8
60.0,2022-03-12,Critical,3
60.0,2022-03-12,Non CIP,257
60.0,2022-03-12,Non Critical,1
60.0,2022-03-12,Serious,2
60.0,2022-03-13,Critical,3
60.0,2022-03-13,Non CIP,222
60.0,2022-03-13,Non Critical,3
60.0,2022-03-13,Serious,5
60.0,2022-03-14,Critical,5
60.0,2022-03-14,Non CIP,231
60.0,2022-03-14,Non Critical,6
60.0,2022-03-14,Serious,7
60.0,2022-03-15,Critical,5
60.0,2022-03-15,Non CIP,264
60.0,2022-03-15,Non Critical,4
60.0,2022-03-15,Serious,4
60.0,2022-03-16,Critical,3
60.0,2022-03-16,Non CIP,308
60.0,2022-03-16,Non Critical,3
60.0,2022-03-16,Serious,2
60.0,2022-03-17,Critical,1
60.0,2022-03-17,Non CIP,222
60.0,2022-03-17,Non Critical,7
60.0,2022-03-17,Serious,3
60.0,2022-03-18,Critical,2
60.0,2022-03-18,Non CIP,256
60.0,2022-03-18,Non Critical,7
60.0,2022-03-18,Serious,4
60.0,2022-03-19,Critical,5
60.0,2022-03-19,Non CIP,249
60.0,2022-03-19,Non Critical,2
60.0,2022-03-19,Serious,8
60.0,2022-03-20,Critical,3
60.0,2022-03-20,Non CIP,213
60.0,2022-03-20,Non Critical,11
60.0,2022-03-20,Serious,6
60.0,2022-03-21,Critical,6
60.0,2022-03-21,Non CIP,218
60.0,2022-03-21,Non Critical,10
60.0,2022-03-21,Serious,4
60.0,2022-03-22,Critical,6
60.0,2022-03-22,Non CIP,297
60.0,2022-03-22,Non Critical,16
60.0,2022-03-22,Serious,5
60.0,2022-03-23,Critical,6
60.0,2022-03-23,Non CIP,278
60.0,2022-03-23,Non Critical,6
60.0,2022-03-23,Serious,5
60.0,2022-03-24,Critical,3
60.0,2022-03-24,Non CIP,290
60.0,2022-03-24,Non Critical,4
60.0,2022-03-24,Serious,12
60.0,2022-03-25,Critical,5
60.0,2022-03-25,Non CIP,347
60.0,2022-03-25,Non Critical,7
60.0,2022-03-25,Serious,10
60.0,2022-03-26,Critical,3
60.0,2022-03-26,Non CIP,371
60.0,2022-03-26,Non Critical,6
60.0,2022-03-26,Serious,1
60.0,2022-03-27,Non CIP,345
60.0,2022-03-27,Non Critical,6
60.0,2022-03-27,Serious,8
60.0,2022-03-28,Non CIP,335
60.0,2022-03-28,Non Critical,7
60.0,2022-03-28,Serious,5
60.0,2022-03-29,Critical,2
60.0,2022-03-29,Non CIP,292
60.0,2022-03-29,Non Critical,4
60.0,2022-03-29,Serious,6
60.0,2022-03-30,Critical,5
60.0,2022-03-30,Non CIP,268
60.0,2022-03-30,Non Critical,12
60.0,2022-03-30,Serious,7
60.0,2022-03-31,Critical,2
60.0,2022-03-31,Non CIP,322
60.0,2022-03-31,Non Critical,10
60.0,2022-03-31,Serious,3
60.0,2022-04-01,Critical,3
60.0,2022-04-01,Non CIP,340
60.0,2022-04-01,Non Critical,12
60.0,2022-04-01,Serious,3
60.0,2022-04-02,Non CIP,368
60.0,2022-04-02,Non Critical,4
60.0,2022-04-02,Serious,4
60.0,2022-04-03,Critical,5
60.0,2022-04-03,Non CIP,310
60.0,2022-04-03,Non Critical,7
60.0,2022-04-03,Serious,5
60.0,2022-04-04,Critical,1
60.0,2022-04-04,Non CIP,323
60.0,2022-04-04,Non Critical,14
60.0,2022-04-04,Serious,6
60.0,2022-04-05,Critical,2
60.0,2022-04-05,Non CIP,293
60.0,2022-04-05,Non Critical,5
60.0,2022-04-05,Serious,6
60.0,2022-04-06,Non CIP,270
60.0,2022-04-06,Non Critical,7
60.0,2022-04-06,Serious,5
60.0,2022-04-07,Critical,2
60.0,2022-04-07,Non CIP,256
60.0,2022-04-07,Non Critical,3
60.0,2022-04-07,Serious,5
60.0,2022-04-08,Critical,2
60.0,2022-04-08,Non CIP,310
60.0,2022-04-08,Non Critical,6
60.0,2022-04-09,Critical,5
60.0,2022-04-09,Non CIP,264
60.0,2022-04-09,Non Critical,5
60.0,2022-04-09,Serious,3
60.0,2022-04-10,Critical,7
60.0,2022-04-10,Non CIP,216
60.0,2022-04-10,Non Critical,4
60.0,2022-04-10,Serious,8
60.0,2022-04-11,Critical,2
60.0,2022-04-11,Non CIP,283
60.0,2022-04-11,Non Critical,7
60.0,2022-04-11,Serious,5
60.0,2022-04-12,Critical,3
60.0,2022-04-12,Non CIP,320
60.0,2022-04-12,Non Critical,6
60.0,2022-04-12,Serious,6
60.0,2022-04-13,Critical,5
60.0,2022-04-13,Non CIP,263
60.0,2022-04-13,Non Critical,11
60.0,2022-04-13,Serious,9
60.0,2022-04-14,Critical,2
60.0,2022-04-14,Non CIP,266
60.0,2022-04-14,Non Critical,9
60.0,2022-04-14,Serious,5
60.0,2022-04-15,Non CIP,337
60.0,2022-04-15,Non Critical,9
60.0,2022-04-15,Serious,2
60.0,2022-04-16,Critical,9
60.0,2022-04-16,Non CIP,263
60.0,2022-04-16,Non Critical,15
60.0,2022-04-16,Serious,5
60.0,2022-04-17,Critical,2
60.0,2022-04-17,Non CIP,243
60.0,2022-04-17,Non Critical,6
60.0,2022-04-17,Serious,5
60.0,2022-04-18,Critical,2
60.0,2022-04-18,Non CIP,246
60.0,2022-04-18,Non Critical,8
60.0,2022-04-18,Serious,6
60.0,2022-04-19,Critical,2
60.0,2022-04-19,Non CIP,248
60.0,2022-04-19,Non Critical,5
60.0,2022-04-19,Serious,1
60.0,2022-04-20,Critical,4
60.0,2022-04-20,Non CIP,228
60.0,2022-04-20,Non Critical,12
60.0,2022-04-20,Serious,1
60.0,2022-04-21,Critical,8
60.0,2022-04-21,Non CIP,226
60.0,2022-04-21,Non Critical,2
60.0,2022-04-22,Critical,6
60.0,2022-04-22,Non CIP,285
60.0,2022-04-22,Non Critical,9
60.0,2022-04-22,Serious,2
60.0,2022-04-23,Critical,9
60.0,2022-04-23,Non CIP,267
60.0,2022-04-23,Non Critical,7
60.0,2022-04-23,Serious,4
60.0,2022-04-24,Critical,1
60.0,2022-04-24,Non CIP,304
60.0,2022-04-24,Non Critical,5
60.0,2022-04-24,Serious,3
60.0,2022-04-25,Critical,4
60.0,2022-04-25,Non CIP,238
60.0,2022-04-25,Non Critical,12
60.0,2022-04-25,Serious,2
60.0,2022-04-26,Critical,2
60.0,2022-04-26,Non CIP,257
60.0,2022-04-26,Non Critical,8
60.0,2022-04-26,Serious,5
60.0,2022-04-27,Critical,2
60.0,2022-04-27,Non CIP,251
60.0,2022-04-27,Non Critical,11
60.0,2022-04-27,Serious,8
60.0,2022-04-28,Critical,3
60.0,2022-04-28,Non CIP,220
60.0,2022-04-28,Non Critical,7
60.0,2022-04-28,Serious,1
60.0,2022-04-29,Critical,2
60.0,2022-04-29,Non CIP,257
60.0,2022-04-29,Non Critical,6
60.0,2022-04-29,Serious,7
60.0,2022-04-30,Critical,5
60.0,2022-04-30,Non CIP,259
60.0,2022-04-30,Non Critical,13
60.0,2022-04-30,Serious,6
60.0,2022-05-01,Critical,3
60.0,2022-05-01,Non CIP,267
60.0,2022-05-01,Non Critical,11
60.0,2022-05-01,Serious,8
60.0,2022-05-02,Critical,2
60.0,2022-05-02,Non CIP,213
60.0,2022-05-02,Non Critical,8
60.0,2022-05-02,Serious,4
60.0,2022-05-03,Critical,9
60.0,2022-05-03,Non CIP,250
60.0,2022-05-03,Non Critical,8
60.0,2022-05-03,Serious,4
60.0,2022-05-04,Critical,5
60.0,2022-05-04,Non CIP,261
60.0,2022-05-04,Non Critical,5
60.0,2022-05-04,Serious,2
60.0,2022-05-05,Critical,11
60.0,2022-05-05,Non CIP,243
60.0,2022-05-05,Non Critical,9
60.0,2022-05-05,Serious,3
60.0,2022-05-06,Critical,2
60.0,2022-05-06,Non CIP,297
60.0,2022-05-06,Non Critical,6
60.0,2022-05-06,Serious,3
60.0,2022-05-07,Critical,1
60.0,2022-05-07,Non CIP,262
60.0,2022-05-07,Non Critical,8
60.0,2022-05-07,Serious,4
60.0,2022-05-08,Critical,2
60.0,2022-05-08,Non CIP,253
60.0,2022-05-08,Non Critical,7
60.0,2022-05-08,Serious,4
60.0,2022-05-09,Non CIP,270
60.0,2022-05-09,Non Critical,8
60.0,2022-05-09,Serious,9
60.0,2022-05-10,Critical,4
60.0,2022-05-10,Non CIP,276
60.0,2022-05-10,Non Critical,5
60.0,2022-05-10,Serious,4
60.0,2022-05-11,Critical,3
60.0,2022-05-11,Non CIP,261
60.0,2022-05-11,Non Critical,8
60.0,2022-05-11,Serious,3
60.0,2022-05-12,Critical,1
60.0,2022-05-12,Non CIP,247
60.0,2022-05-12,Non Critical,8
60.0,2022-05-12,Serious,2
60.0,2022-05-13,Critical,2
60.0,2022-05-13,Non CIP,292
60.0,2022-05-13,Non Critical,13
60.0,2022-05-13,Serious,6
60.0,2022-05-14,Critical,3
60.0,2022-05-14,Non CIP,238
60.0,2022-05-14,Non Critical,7
60.0,2022-05-14,Serious,4
60.0,2022-05-15,Critical,5
60.0,2022-05-15,Non CIP,218
60.0,2022-05-15,Non Critical,13
60.0,2022-05-15,Serious,6
60.0,2022-05-16,Critical,6
60.0,2022-05-16,Non CIP,236
60.0,2022-05-16,Non Critical,7
60.0,2022-05-16,Serious,4
60.0,2022-05-17,Critical,2
60.0,2022-05-17,Non CIP,232
60.0,2022-05-17,Non Critical,9
60.0,2022-05-17,Serious,8
60.0,2022-05-18,Critical,2
60.0,2022-05-18,Non CIP,266
60.0,2022-05-18,Non Critical,11
60.0,2022-05-18,Serious,5
60.0,2022-05-19,Critical,2
60.0,2022-05-19,Non CIP,235
60.0,2022-05-19,Non Critical,7
60.0,2022-05-19,Serious,8
60.0,2022-05-20,Critical,5
60.0,2022-05-20,Non CIP,234
60.0,2022-05-20,Non Critical,7
60.0,2022-05-20,Serious,5
60.0,2022-05-21,Critical,2
60.0,2022-05-21,Non CIP,286
60.0,2022-05-21,Non Critical,11
60.0,2022-05-21,Serious,7
60.0,2022-05-22,Critical,3
60.0,2022-05-22,Non CIP,211
60.0,2022-05-22,Non Critical,11
60.0,2022-05-22,Serious,5
60.0,2022-05-23,Critical,1
60.0,2022-05-23,Non CIP,244
60.0,2022-05-23,Non Critical,7
60.0,2022-05-23,Serious,8
60.0,2022-05-24,Critical,1
60.0,2022-05-24,Non CIP,254
60.0,2022-05-24,Non Critical,7
60.0,2022-05-24,Serious,3
60.0,2022-05-25,Critical,5
60.0,2022-05-25,Non CIP,249
60.0,2022-05-25,Non Critical,12
60.0,2022-05-25,Serious,3
60.0,2022-05-26,Critical,2
60.0,2022-05-26,Non CIP,276
60.0,2022-05-26,Non Critical,4
60.0,2022-05-26,Serious,6
60.0,2022-05-27,Critical,4
60.0,2022-05-27,Non CIP,294
60.0,2022-05-27,Non Critical,13
60.0,2022-05-27,Serious,5
60.0,2022-05-28,Critical,2
60.0,2022-05-28,Non CIP,312
60.0,2022-05-28,Non Critical,8
60.0,2022-05-28,Serious,3
60.0,2022-05-29,Critical,5
60.0,2022-05-29,Non CIP,315
60.0,2022-05-29,Non Critical,11
60.0,2022-05-29,Serious,7
60.0,2022-05-30,Critical,7
60.0,2022-05-30,Non CIP,267
60.0,2022-05-30,Non Critical,10
60.0,2022-05-30,Serious,12
60.0,2022-05-31,Critical,8
60.0,2022-05-31,Non CIP,264
60.0,2022-05-31,Non Critical,11
60.0,2022-05-31,Serious,5
60.0,2022-06-01,Critical,1
60.0,2022-06-01,Non CIP,280
60.0,2022-06-01,Non Critical,9
60.0,2022-06-01,Serious,5
60.0,2022-06-02,Critical,4
60.0,2022-06-02,Non CIP,274
60.0,2022-06-02,Non Critical,6
60.0,2022-06-02,Serious,2
60.0,2022-06-03,Critical,2
60.0,2022-06-03,Non CIP,300
60.0,2022-06-03,Non Critical,14
60.0,2022-06-03,Serious,3
60.0,2022-06-04,Critical,3
60.0,2022-06-04,Non CIP,278
60.0,2022-06-04,Non Critical,9
60.0,2022-06-04,Serious,9
60.0,2022-06-05,Critical,8
60.0,2022-06-05,Non CIP,283
60.0,2022-06-05,Non Critical,15
60.0,2022-06-05,Serious,10
60.0,2022-06-06,Critical,2
60.0,2022-06-06,Non CIP,257
60.0,2022-06-06,Non Critical,9
60.0,2022-06-06,Serious,2
60.0,2022-06-07,Critical,4
60.0,2022-06-07,Non CIP,274
60.0,2022-06-07,Non Critical,11
60.0,2022-06-07,Serious,11
60.0,2022-06-08,Critical,7
60.0,2022-06-08,Non CIP,257
60.0,2022-06-08,Non Critical,7
60.0,2022-06-08,Serious,10
60.0,2022-06-09,Critical,4
60.0,2022-06-09,Non CIP,276
60.0,2022-06-09,Non Critical,10
60.0,2022-06-09,Serious,1
60.0,2022-06-10,Critical,10
60.0,2022-06-10,Non CIP,277
60.0,2022-06-10,Non Critical,10
60.0,2022-06-10,Serious,2
60.0,2022-06-11,Critical,5
60.0,2022-06-11,Non CIP,260
60.0,2022-06-11,Non Critical,12
60.0,2022-06-11,Serious,8
60.0,2022-06-12,Critical,3
60.0,2022-06-12,Non CIP,204
60.0,2022-06-12,Non Critical,5
60.0,2022-06-12,Serious,7
60.0,2022-06-13,Critical,2
60.0,2022-06-13,Non CIP,249
60.0,2022-06-13,Non Critical,12
60.0,2022-06-13,Serious,9
60.0,2022-06-14,Critical,1
60.0,2022-06-14,Non CIP,226
60.0,2022-06-14,Non Critical,6
60.0,2022-06-14,Serious,6
60.0,2022-06-15,Critical,2
60.0,2022-06-15,Non CIP,247
60.0,2022-06-15,Non Critical,12
60.0,2022-06-15,Serious,10
60.0,2022-06-16,Critical,1
60.0,2022-06-16,Non CIP,208
60.0,2022-06-16,Non Critical,18
60.0,2022-06-16,Serious,11
60.0,2022-06-17,Critical,4
60.0,2022-06-17,Non CIP,263
60.0,2022-06-17,Non Critical,11
60.0,2022-06-17,Serious,10
60.0,2022-06-18,Critical,5
60.0,2022-06-18,Non CIP,215
60.0,2022-06-18,Non Critical,11
60.0,2022-06-18,Serious,5
60.0,2022-06-19,Non CIP,233
60.0,2022-06-19,Non Critical,17
60.0,2022-06-19,Serious,2
60.0,2022-06-20,Critical,4
60.0,2022-06-20,Non CIP,297
60.0,2022-06-20,Non Critical,10
60.0,2022-06-20,Serious,6
60.0,2022-06-21,Critical,1
60.0,2022-06-21,Non CIP,298
60.0,2022-06-21,Non Critical,9
60.0,2022-06-21,Serious,6
60.0,2022-06-22,Critical,2
60.0,2022-06-22,Non CIP,214
60.0,2022-06-22,Non Critical,5
60.0,2022-06-22,Serious,5
60.0,2022-06-23,Critical,3
60.0,2022-06-23,Non CIP,265
60.0,2022-06-23,Non Critical,5
60.0,2022-06-23,Serious,7
60.0,2022-06-24,Critical,1
60.0,2022-06-24,Non CIP,238
60.0,2022-06-24,Non Critical,8
60.0,2022-06-24,Serious,4
60.0,2022-06-25,Critical,4
60.0,2022-06-25,Non CIP,283
60.0,2022-06-25,Non Critical,15
60.0,2022-06-25,Serious,11
60.0,2022-06-26,Critical,6
60.0,2022-06-26,Non CIP,213
60.0,2022-06-26,Non Critical,13
60.0,2022-06-26,Serious,10
60.0,2022-06-27,Critical,1
60.0,2022-06-27,Non CIP,212
60.0,2022-06-27,Non Critical,11
60.0,2022-06-27,Serious,6
60.0,2022-06-28,Critical,5
60.0,2022-06-28,Non CIP,206
60.0,2022-06-28,Non Critical,11
60.0,2022-06-28,Serious,6
60.0,2022-06-29,Critical,5
60.0,2022-06-29,Non CIP,211
60.0,2022-06-29,Non Critical,12
60.0,2022-06-29,Serious,7
60.0,2022-06-30,Critical,5
60.0,2022-06-30,Non CIP,259
60.0,2022-06-30,Non Critical,10
60.0,2022-06-30,Serious,7
60.0,2022-07-01,Critical,1
60.0,2022-07-01,Non CIP,289
60.0,2022-07-01,Non Critical,15
60.0,2022-07-01,Serious,8
60.0,2022-07-02,Critical,8
60.0,2022-07-02,Non CIP,281
60.0,2022-07-02,Non Critical,10
60.0,2022-07-02,Serious,8
60.0,2022-07-03,Critical,6
60.0,2022-07-03,Non CIP,300
60.0,2022-07-03,Non Critical,12
60.0,2022-07-03,Serious,5
60.0,2022-07-04,Critical,3
60.0,2022-07-04,Non CIP,343
60.0,2022-07-04,Non Critical,15
60.0,2022-07-04,Serious,7
60.0,2022-07-05,Critical,7
60.0,2022-07-05,Non CIP,252
60.0,2022-07-05,Non Critical,11
60.0,2022-07-05,Serious,7
60.0,2022-07-06,Critical,1
60.0,2022-07-06,Non CIP,240
60.0,2022-07-06,Non Critical,11
60.0,2022-07-06,Serious,7
60.0,2022-07-07,Critical,3
60.0,2022-07-07,Non CIP,183
60.0,2022-07-07,Non Critical,7
60.0,2022-07-07,Serious,4
60.0,2022-07-08,Critical,3
60.0,2022-07-08,Non CIP,248
60.0,2022-07-08,Non Critical,13
60.0,2022-07-08,Serious,3
60.0,2022-07-09,Critical,4
60.0,2022-07-09,Non CIP,198
60.0,2022-07-09,Non Critical,12
60.0,2022-07-09,Serious,3
60.0,2022-07-10,Critical,5
60.0,2022-07-10,Non CIP,216
60.0,2022-07-10,Non Critical,11
60.0,2022-07-10,Serious,6
60.0,2022-07-11,Critical,4
60.0,2022-07-11,Non CIP,189
60.0,2022-07-11,Non Critical,6
60.0,2022-07-11,Serious,2
60.0,2022-07-12,Critical,3
60.0,2022-07-12,Non CIP,217
60.0,2022-07-12,Non Critical,5
60.0,2022-07-12,Serious,3
60.0,2022-07-13,Critical,5
60.0,2022-07-13,Non CIP,209
60.0,2022-07-13,Non Critical,10
60.0,2022-07-13,Serious,8
60.0,2022-07-14,Critical,3
60.0,2022-07-14,Non CIP,238
60.0,2022-07-14,Non Critical,8
60.0,2022-07-14,Serious,9
60.0,2022-07-15,Critical,6
60.0,2022-07-15,Non CIP,237
60.0,2022-07-15,Non Critical,9
60.0,2022-07-15,Serious,9
60.0,2022-07-16,Critical,8
60.0,2022-07-16,Non CIP,256
60.0,2022-07-16,Non Critical,12
60.0,2022-07-16,Serious,4
60.0,2022-07-17,Critical,5
60.0,2022-07-17,Non CIP,261
60.0,2022-07-17,Non Critical,4
60.0,2022-07-17,Serious,12
60.0,2022-07-18,Critical,3
60.0,2022-07-18,Non CIP,209
60.0,2022-07-18,Non Critical,7
60.0,2022-07-18,Serious,4
60.0,2022-07-19,Critical,3
60.0,2022-07-19,Non CIP,197
60.0,2022-07-19,Non Critical,7
60.0,2022-07-19,Serious,7
